,Ensemble_adv,Ensemble_true,True,adv_model0,adv_model1,adv_model2,adv_model3,adv_model4,adv_model5,adv_model6,adv_model7,adv_model8,adv_model9,model0,model1,model2,model3,model4,model5,model6,model7,model8,model9
0,4,9,9,4,4,4,4,4,4,4,4,4,4,9,9,9,9,4,4,9,9,9,9
1,3,9,9,3,3,8,3,3,3,8,3,3,3,2,9,8,9,9,9,8,2,9,9
2,8,5,5,5,2,8,5,5,8,5,5,8,8,5,5,5,5,5,5,5,5,5,5
3,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5
4,3,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,4,6,6,6,6,4,4,4,4,6,6,4,4,6,6,6,6,6,6,6,6,6,6
7,6,0,0,6,6,6,0,6,6,6,6,0,2,0,0,0,0,0,0,0,0,0,0
8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
9,1,4,4,5,3,1,1,3,1,5,3,3,1,4,4,4,4,4,4,4,4,4,4
10,8,4,4,8,8,8,8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,4,4
11,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6
12,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
14,4,6,6,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6
15,5,5,5,5,5,5,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
16,2,4,4,2,2,2,2,2,2,2,6,2,2,4,4,4,4,4,4,4,4,4,4
17,6,4,5,5,6,6,4,4,6,6,6,6,6,4,4,5,4,4,4,4,4,5,5
18,5,1,1,5,5,8,1,8,1,3,5,8,1,1,1,1,1,1,1,1,1,1,1
19,3,4,4,3,3,9,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
20,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
21,8,7,7,8,2,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7
22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2
23,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
24,2,2,2,2,2,2,8,8,2,2,2,8,2,2,2,2,2,2,2,2,2,2,2
25,3,7,7,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7
26,3,1,1,5,3,5,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
27,8,8,8,8,8,8,3,8,8,3,3,8,8,8,8,8,8,8,8,8,8,8,8
28,3,1,1,3,3,8,1,3,1,3,3,8,1,1,1,1,1,1,1,1,1,1,1
29,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
30,3,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
31,8,8,8,8,2,8,8,2,8,8,8,8,2,8,8,8,8,8,8,8,8,8,8
32,8,5,5,5,8,8,8,8,8,5,8,8,8,5,5,5,5,5,5,5,5,5,5
